,Nation,Total Co2
13595,SLOVENIA,12822.98
13658,SOLOMON ISLANDS,201.85
13723,SOMALIA,609.22
13854,SOUTH AFRICA,490172.54
14039,SPAIN,234168.02
14104,SRI LANKA,18408.72
14138,ST. KITTS-NEVIS,231.21
14227,ST. PIERRE & MIQUELON,77.07
14292,ST. VINCENT & THE GRENADINES,209.19
14419,SURINAME,1992.81
14482,SWAZILAND,1203.76
14659,SWEDEN,43456.47
14816,SWITZERLAND,35334.76
14900,SYRIAN ARAB REPUBLIC,30728.91
15019,TAIWAN,264287.71
15042,TAJIKISTAN,5193.05
15143,THAILAND,316471.44
15156,TIMOR-LESTE (FORMERLY EAST TIMOR),469.76
15221,TOGO,2624.0499999999997
15286,TONGA,121.11
15393,TRINIDAD AND TOBAGO,46311.729999999996
15484,TUNISIA,28853.54
15634,TURKEY,346264.5
15657,TURKMENISTAN,68478.53
15682,TURKS AND CAICOS ISLANDS,205.51999999999998
15707,TUVALU,11.01
15772,UGANDA,5233.42
15795,UKRAINE,227484.94999999998
15851,UNITED ARAB EMIRATES,211542.47
16115,UNITED KINGDOM,420163.62
16196,UNITED REPUBLIC OF TANZANIA,11571.51
16411,UNITED STATES OF AMERICA,5258577.85
16494,URUGUAY,6752.8
16657,UZBEKISTAN,105299.64
16710,VANUATU,154.14
16814,VENEZUELA,185371.69999999998
16913,VIET NAM,167047.38999999998
16927,WALLIS AND FUTUNA ISLANDS,22.02
16951,YEMEN,22717.3
17113,ZAMBIA,4506.76
17231,ZIMBABWE,12030.26
